PUBID,wage,numChildren,age,educ,experience,tenure,marstat,fullTime,y2009
293,10.25,0,21,2.High school,4.483870968,0.461538462,No romantic union,FALSE,0
293,15,0,25,4.College,9.580645161,0.153846154,Married,TRUE,1
295,8,0,20,2.High school,7,1.019230769,No romantic union,TRUE,0
295,11.25,0,24,2.High school,14.74193548,1.019230769,No romantic union,TRUE,1
303,20,0,29,4.College,12.29032258,1.634615385,No romantic union,TRUE,1
307,30.77,0,24,4.College,11,1.269230769,No romantic union,FALSE,0
307,23.26,0,29,4.College,19.19354839,6.153846154,Cohabiting,TRUE,1
312,16.48,0,27,2.High school,20,1.769230769,No romantic union,TRUE,1
313,37.21,0,23,4.College,9.774193548,2.038461538,Cohabiting,TRUE,0
313,43.75,0,28,4.College,17.93548387,6.903846154,Married,TRUE,1
334,7.25,0,20,2.High school,5.419354839,1.038461538,No romantic union,FALSE,0
334,29.06,0,25,4.College,13.41935484,3.096153846,Cohabiting,TRUE,1
335,13,0,29,4.College,NA,0.423076923,No romantic union,FALSE,1
354,19,1,27,2.High school,16,6.461538462,Married,TRUE,1
359,13.37,0,21,2.High school,6.612903226,1.519230769,No romantic union,TRUE,0
359,12.36,1,26,2.High school,14.19354839,1.807692308,Married,TRUE,1
368,11.17,0,23,2.High school,10.09677419,3.326923077,No romantic union,TRUE,0
368,14.82,1,28,2.High school,16,2.480769231,Married,TRUE,1
388,8,3,27,1.Less than HS,7.096774194,2.019230769,Married,FALSE,1
390,8,1,21,2.High school,5.258064516,0.519230769,No romantic union,FALSE,0
390,17.6,1,26,2.High school,13.32258065,3.134615385,Married,TRUE,1
417,22.12,0,26,4.College,12.67741935,2.807692308,Cohabiting,TRUE,1
425,9.25,0,22,2.High school,10.32258065,0.403846154,Cohabiting,TRUE,0
425,27.5,1,27,4.College,17.70967742,1.211538462,Married,FALSE,1
428,7.75,1,20,2.High school,1.903225806,1.134615385,Married,TRUE,0
428,15,3,25,2.High school,10.80645161,5.307692308,NA,TRUE,1
444,8.75,0,22,1.Less than HS,7.193548387,0.596153846,No romantic union,TRUE,0
444,8,0,27,1.Less than HS,14,0.615384615,No romantic union,TRUE,1
460,6.75,1,22,2.High school,2.516129032,0.134615385,Cohabiting,FALSE,0
460,9.05,1,27,2.High school,9.225806452,1.980769231,No romantic union,FALSE,1
461,6.75,0,21,1.Less than HS,3.483870968,1.442307692,Cohabiting,TRUE,0
461,8,1,26,1.Less than HS,11.09677419,5.980769231,Cohabiting,TRUE,1
468,9,0,23,2.High school,7.870967742,1.019230769,Married,TRUE,0
468,15,2,27,2.High school,15.67741935,5.673076923,Married,TRUE,1
470,6,2,23,2.High school,4.322580645,2.288461538,No romantic union,TRUE,0
470,8.75,3,28,2.High school,11.29032258,6.403846154,No romantic union,TRUE,1
477,8,1,22,2.High school,6.064516129,0.423076923,Cohabiting,TRUE,0
477,12,2,27,2.High school,9.870967742,1.538461538,Cohabiting,FALSE,1
478,9.15,0,21,2.High school,7.774193548,2.115384615,No romantic union,TRUE,0
478,11.5,2,26,2.High school,14.4516129,0.365384615,Married,FALSE,1
479,8.7,0,22,2.High school,8.516129032,1.326923077,No romantic union,TRUE,0
479,14.98,0,27,2.High school,16.41935484,2.75,Married,TRUE,1
480,16.9,0,29,2.High school,15.12903226,1.884615385,No romantic union,TRUE,1
484,11.5,0,22,2.High school,6.709677419,1.057692308,No romantic union,FALSE,0
484,17.5,0,27,4.College,13,0.596153846,No romantic union,FALSE,1
512,8.5,3,28,1.Less than HS,6.322580645,0.192307692,No romantic union,TRUE,1
514,12.99,2,28,1.Less than HS,8.161290323,2.211538462,Married,TRUE,1
515,10,0,21,2.High school,7.548387097,1.826923077,No romantic union,TRUE,0
515,15.01,0,26,2.High school,15.38709677,3.153846154,No romantic union,TRUE,1
519,12.55,2,24,2.High school,NA,4.884615385,Married,TRUE,0
519,13.65,2,29,2.High school,NA,9.692307692,Married,TRUE,1
528,11.25,0,22,2.High school,9.096774194,4.153846154,Married,TRUE,0
528,14.9,0,27,2.High school,17.09677419,8.923076923,Married,FALSE,1
530,7.5,0,22,2.High school,4.258064516,0.057692308,No romantic union,TRUE,0
533,7,0,22,2.High school,6.258064516,2.5,No romantic union,FALSE,0
533,18,0,27,4.College,14.61290323,3.5,No romantic union,TRUE,1
535,18.75,0,24,4.College,13.67741935,1.615384615,No romantic union,TRUE,0
535,40.87,1,29,4.College,22.06451613,2.326923077,Cohabiting,TRUE,1
538,9.5,0,21,1.Less than HS,6.290322581,3.269230769,No romantic union,TRUE,0
538,14.63,1,26,2.High school,13.96774194,0.826923077,No romantic union,TRUE,1
540,6.75,1,22,2.High school,9.35483871,0.826923077,Married,FALSE,0
540,10,1,28,2.High school,18.09677419,1.153846154,No romantic union,TRUE,1
557,8,1,23,2.High school,6.516129032,0.826923077,No romantic union,FALSE,0
566,9.25,0,22,2.High school,6.967741935,4.153846154,No romantic union,FALSE,0
566,11.25,1,27,2.High school,14.67741935,4.038461538,Cohabiting,TRUE,1
573,7.25,1,23,1.Less than HS,3.967741935,0.826923077,No romantic union,TRUE,0
579,6.25,0,24,2.High school,10.41935484,1.923076923,No romantic union,FALSE,0
579,12.5,1,29,4.College,12.70967742,0.173076923,Cohabiting,TRUE,1
585,7.5,0,21,2.High school,3.838709677,0.615384615,No romantic union,FALSE,0
585,20.19,0,26,4.College,11.4516129,5.519230769,Married,TRUE,1
592,12.25,0,20,2.High school,4.258064516,2.807692308,No romantic union,TRUE,0
592,26,0,25,2.High school,12.25806452,1.730769231,No romantic union,TRUE,1
595,21.82,2,23,2.High school,3.967741935,1.480769231,No romantic union,TRUE,0
599,9.09,0,23,2.High school,7.096774194,0.576923077,Married,TRUE,0
599,26.25,0,28,2.High school,15.19354839,5.403846154,Married,TRUE,1
601,9.25,2,24,2.High school,6.451612903,3.846153846,Cohabiting,TRUE,0
622,11,0,23,2.High school,14.96774194,0.884615385,No romantic union,TRUE,0
622,12.85,1,28,2.High school,23,5.673076923,Married,FALSE,1
626,6.75,1,22,2.High school,4.064516129,0.115384615,No romantic union,FALSE,0
635,8.5,0,23,2.High school,NA,0.826923077,No romantic union,FALSE,0
635,23.33,0,28,2.High school,NA,4.25,No romantic union,FALSE,1
652,9.25,2,25,2.High school,9.225806452,3.076923077,Married,FALSE,1
658,14.53,1,20,2.High school,5.677419355,2.519230769,Married,TRUE,0
666,21.15,0,23,4.College,10.77419355,0.019230769,No romantic union,TRUE,0
666,18.97,0,28,4.College,18.70967742,4.75,No romantic union,TRUE,1
667,18.16,0,22,2.High school,10.29032258,0.5,No romantic union,TRUE,0
667,20.96,0,26,4.College,17.90322581,5.038461538,No romantic union,TRUE,1
672,11.25,0,25,4.College,6.580645161,1.673076923,No romantic union,TRUE,0
672,9,1,29,4.College,NA,0.788461538,Married,TRUE,1
674,8,0,21,2.High school,3.967741935,0.692307692,No romantic union,TRUE,0
674,10.25,1,26,3.Some college,11.22580645,4.115384615,No romantic union,TRUE,1
676,6.75,1,20,2.High school,4.193548387,0.153846154,No romantic union,FALSE,0
676,19.23,4,24,4.College,10.96774194,1.134615385,Married,TRUE,1
677,7.35,0,21,2.High school,3.677419355,0.346153846,Cohabiting,FALSE,0
677,9.15,0,26,2.High school,10.29032258,2.173076923,No romantic union,FALSE,1
679,11,2,22,2.High school,6.64516129,1.519230769,No romantic union,TRUE,0
679,12,2,27,2.High school,13,0.519230769,Cohabiting,TRUE,1
681,3.09,0,20,2.High school,2.838709677,0.384615385,No romantic union,FALSE,0
681,9,0,25,2.High school,9.387096774,0.192307692,No romantic union,FALSE,1
684,5.35,2,20,2.High school,0.225806452,0.038461538,No romantic union,FALSE,0
684,7.25,3,25,2.High school,6.387096774,0.096153846,No romantic union,FALSE,1
686,7.5,1,22,2.High school,5.677419355,0.230769231,No romantic union,TRUE,0
686,6.5,0,26,2.High school,7.258064516,0.461538462,No romantic union,FALSE,1
